Cuisine,a,b,c
Middle Eastern,6.2653808531187405,-0.05282128812426013,-0.0013394116709448706
Rest Africa,6.519132566927523,-0.09754117002472422,-0.005500415956523706
Northern Africa,5.723579135700629,-0.013162379445763588,0.0016317243171521517
Chinese and Mongolian,6.0304426171177345,-0.07573736393239516,-0.003419593255030931
Thai,6.444866236655841,-0.11701693594630987,-0.006365932423288492
Southeast Asian,5.800191036865446,-0.021614168761592726,0.0004855760021813448
Indian Subcontinent,6.471973177755503,-0.11869554272375786,-0.005452156193483469
Korean,5.631891449716354,0.0015414190312687155,0.002448880916922206
Japanese,6.0162616752619,-0.031294799238392575,-0.0005262393500460941
Australian,6.1433981876618216,-0.04157070508839295,-0.001709055010858998
Mexican,5.883630397338507,-0.03477208916879206,-0.002267392085800237
Caribbean,5.921227915649608,-0.015986615551072437,0.0010977068169467001
South American,5.697004505177615,-0.04396874549861729,-0.003011384863201482
Eastern European,5.927915101227428,-0.0348542814072427,-0.0025486952108408215
Scandinavian,5.655551390982752,0.009053435810049894,0.00010557605116903436
UK,6.110577425059647,-0.02544314634625618,-0.0011192075820296587
Belgian,6.234522745314278,-0.05536352186929068,-0.003120794874977572
Deutschland ,5.664423229175655,-0.008714122350900789,-0.0017690309688143135
Greek,6.065234792862084,-0.026733555637464372,-0.0003761670125383409
French,6.28755515153352,-0.041682113605153,-0.0015886014120242561
Spanish and Portuguese,7.239385499331347,-0.16474126653179583,-0.008760921380659679
Italian,6.569572618908504,-0.09632814812354264,-0.004674524267836794
Irish,5.912614078235896,-0.00503600014963787,0.0019538179318099227
US,5.646244232067218,-0.008849425396042497,-4.078373742413095e-05
Canadian,5.914603187469444,-0.02103735293302272,-0.0013127633314791573
Central American,7.07196661955658,-0.16053505339476165,-0.011800298310184497
